doc_id,chunk_id,source,page,section,chunk,categories
doc_1,doc_1_chunk_0,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,1,,"การผ่าตัดตกแต่งกล้ามเนื้อและเนื้อเยื่ออ่อนบริเวณเพดานอ่อน, ลิ้นไก่ ผนังคอหอยให้ตึงและกระชับขึ้น (uvulopalatopharyngoplasty: UPPP)รศ.นพ.ปารยะ อาศนะเสนสาขาโรคจมูกและโรคภูมิแพ้ ภาควิชาโสตนาสิกลาริงซ์วิทยา Faculty of Medicine Siriraj Hospital คณะแพทยศาสตร์ศิริราชพยาบาล เปูนการผ่าตัดที่นิยมทําในการรักษา อาการนอนกรน และ/ หรือมีภาวะหยุดหายใจขณะหลับ โดยเปูนการผ่าตัดที่เอา ต่อมทอนซิลลิ้นไก่ และเนื้อเยื่อที่หย่อนยาน (redundant tissue) บริเวณผนังคอหอยออก","[{""level_1"": ""หัตถการ"", ""level_2"": ""surgical removal of impacted teeth""}]"
doc_1,doc_1_chunk_1,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,1,,(redundant tissue) บริเวณผนังคอหอยออก และทําให้เพดานอ่อนสั้นลงการผ่าตัดชนิดนี้เปูนการผ่าตัดผ่านทางช่องปาก แพทย์จะใส่เครื่องมือทางช่องปากเข้าไปหาต่อมทอนซิลลิ้นไก่ และเนื้อเยื่อที่หย่อนยานบริเวณผนังคอหอยผู้ป่วยจึงไม่มีบาดแผลใดๆ ที่มองเห็นได้จากภายนอกนิยมใช้ในรายที่มีการอุดกั้นของทางเดินหายใจส่วนบนอยู่ระดับเพดานอ่อนลิ้นไก่ และคอหอย เช่นมีลิ้นไก่หรือเพดานอ่อนที่ยาวผนังคอหอยหนาและหย่อนยานซึ่งการผ่าตัดจะทําให้บริเวณดังกล่าวนี้กว้างขึ้นทําให้อาการนอนกรนและ/หรือภาวะหยุดหายใจขณะหลับน้อยลงหรือดีขึ้นได้,"[{""level_1"": ""หัตถการ"", ""level_2"": ""surgical removal of impacted teeth""}]"
doc_1,doc_1_chunk_2,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,1,,การผ่าตัดชนิดนี้ควรทําเมื่อผู้ป่วยมีร่างกายแข็งแรงสมบูรณ์ดี ไม่เปูนหวัดหรือมีการติดเชื้อของระบบทางเดินหายใจเฉียบพลันก่อนผ่าตัดการผ่าตัดชนิดนี้ต้องใช้การดมยาสลบวิสัญญีแพทย์และพยาบาลจะมาให้ความรู้และดูแลความสมบูรณ์ของร่างกายผู้ป่วยก่อนผ่าตัด เช่นการตรวจเลือดตรวจปัสสาวะ ถ่ายภาพเอกซเรย์ปอดตรวจคลื่นไฟฟาหัวใจผู้ป่วยจะต้องเข้ามาอยู่ในโรงพยาบาล 1 วันก่อนผ่าตัด,"[{""level_1"": ""หัตถการ"", ""level_2"": ""surgical removal of impacted teeth""}]"
doc_1,doc_1_chunk_3,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,1,,1 วันก่อนผ่าตัด เพื่อวิสัญญีแพทย์จะได้เตรียมความพร้อมสําหรับการดมยาสลบในวันรุ่งขึ้นที่จะผ่าตัดคืนวันก่อนผ่าตัดแพทย์จะให้งดน้ําและอาหารหลังเที่ยงคืนเพื่อปองกันการสําลักอาหารและน้ําลงปอดเวลาดมยาสลบ ในบางรายแพทย์อาจแนะนําให้นอนในหออภิบาลวิสัญญี (ICU) หลังผ่าตัด 1 คืน เพื่อสังเกตการหายใจหลังผ่าตัดการดมยาสลบมีโอกาสเสี่ยงที่จะเกิดภาวะแทรกซ้อน เช่น เสียงแหบจากสายเสียงบวมหายใจลําบากอาจต้องใส่ท่อช่วยหายใจ (endotracheal tube) ไว้ระยะหนึ่งหลังผ่าตัดเสร็จปอดอักเสบจากการสูดสําลัก,"[{""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Wound and Infection""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""all rounded post op instruction""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""Wound and Infection""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""all rounded post op instruction""}]"
doc_1,doc_1_chunk_4,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,2,,หลังผ่าตัด 1. ผู้ป่วยจะมีแผลและวัสดุเย็บแผลที่เพดานอ่อน และผนังในคอทั้ง 2 ข้างซึ่งวัสดุเย็บแผลจะค่อยๆ ละลายไปเองภายใน 3-4 สัปดาห์ อาจมีอาการเจ็บคอกลืนอาหารหรือน้ําลายลําบากจากแผลผ่าตัดทําให้รับประทานไม่ค่อยสะดวกอาจมีน้ําลายปนเลือดออกมาได้บ้างเล็กน้อย 2. ผู้ป่วยอาจจะมีไข้ หรือมีอาการบวมหรือรู้สึกติดๆ ขัดๆ ตึงๆ คล้ายมีสิ่งแปลกปลอมบริเวณคอหรือมีเสียงเปลี่ยนได้ ซึ่งอาการดังกล่าวมักจะหายไปภายใน 1 สัปดาห์ 3. หลังการผ่าตัด 1-2 วันแรก เพดานอ่อนหรือผนังในคออาจบวมมากขึ้นได้ ทําให้หายใจอึดอัด,"[{""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""oral hygiene""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""Physical Symptoms""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""Wound and Infection""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""oral hygiene""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Physical Symptoms""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Wound and Infection""}]"
doc_1,doc_1_chunk_5,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,2,,ทําให้หายใจอึดอัด ไม่สะดวกทําให้อาการกรนมากขึ้นได้ ดังนั้นจึงควรนอนศีรษะสูง โดยใช้หมอนหนุนหรือนอนบนที่นอนที่สามารถปรับความเอียงได้ อมและประคบน้ําแข็งบ่อยๆ ในช่วงสัปดาห์แรก เพื่อลดอาการบวมบริเวณที่ทําผ่าตัดถ้าอาการหายใจไม่สะดวก เปูนมากขึ้นเรื่อยๆ จนถึงขั้นรุนแรงหลังออกจากโรงพยาบาลแล้วควรรีบไปโรงพยาบาลเพื่อปรึกษาแพทย์ทันที 4. ผู้ป่วยจะได้รับยาแก้อักเสบยาแก้ปวดยาลดบวมในรูปยาน้ํา และยากลั้วคอผู้ป่วยควรจะรับประทานยาดังกล่าวให้หมด ไม่ว่าอาการจะดีขึ้นหรือไม่ก็ตามผู้ป่วยสามารถรับประทานยาแก้ปวด เช่นพาราเซตามอล,"[{""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""Respiratory and Throat""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""oral hygiene""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Respiratory and Throat""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""oral hygiene""}]"
doc_1,doc_1_chunk_6,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,2,,เช่นพาราเซตามอล เมื่อจําเปูนได้ และจะมีสายให้น้ําเกลือติดอยู่ที่แขน เมื่อผู้ป่วยรับประทานได้ดีพอควร แพทย์จะเอาสายให้น้ําเกลือออก 5. ควรหลีกเลี่ยงการขากเสมหะแรงๆ การล้วงคอหรือแปรงฟันเข้าไปในช่องปากลึกเกินไปการออกแรงมากการเล่นกีฬาที่หักโหมหรือยกของหนักหลังผ่าตัดภายใน 24-48 ชั่วโมงแรก เพราะอาจทําให้มีเลือดออกจากแผลในช่องปากได้ ถ้ามีเลือดออกจากช่องปากควรนอนพักยกศีรษะสูงอมน้ําแข็งในปากนําน้ําแข็งหรือ cold pack มาประคบบริเวณหน้าผากหรือคอ เพื่อให้เลือดหยุดการประคบหรืออมน้ําแข็งควรประคบหรืออมประมาณ 10 นาที,"[{""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""oral hygiene""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""all rounded post op instruction""}]"
doc_1,doc_1_chunk_7,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,2,,10 นาที แล้วจึงเอาออกประมาณ 10 นาที แล้วค่อยประคบหรืออมใหม่เปูนเวลา 10 นาที ทําเช่นนี้สลับกันไปเรื่อยๆ ถ้าเลือดออกไม่หยุดหรือออกมากผิดปกติ ควรรีบไปโรงพยาบาลเพื่อปรึกษาแพทย์ทันที 6. ควรรับประทานอาหารอ่อน เช่น โจกหรือข้าวต้ม ไม่ควรรับประทานอาหารที่แข็งหรือร้อนหรือรสเผ็ดหรือจัดเกินไปอย่างน้อย 1 สัปดาห์หลังผ่าตัดอาหารที่รับประทานหลังผ่าตัดควรเปูนอาหารเหลวที่เย็นหรือไอศกรีม ในระยะแรกเวลาดื่มน้ํา หรือรับประทานอาหารอาจมีสําลักออกจมูกได้บ้างจึงควรดื่มน้ําและรับประทานอาหารอย่างช้าๆ,"[{""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""oral hygiene""}, {""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""food""}]"
doc_1,doc_1_chunk_8,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,2,,และอย่างระมัดระวังส่วนใหญ่เมื่อกล้ามเนื้อบริเวณเพดานอ่อนและคอหอยปรับตัวได้ อาการดังกล่าวจะค่อยๆ ดีขึ้นเองนอกจากนั้นควรกลั้วคอทําความสะอาดบ่อยๆ และแปรงฟันทุกครั้งหลังรับประทานอาหาร,"[{""level_1"": ""การปฏิบัติตัวหลังทำหัตถการ"", ""level_2"": ""oral hygiene""}]"
doc_1,doc_1_chunk_9,uvulopalatopharyngoplasty-คณะแพทยศาสตร์ศิริราช.pdf,3,,7. โดยปกติ หลังผ่าตัดประมาณ 4 สัปดาห์ แผลจะหายเปูนปกติ อาการนอนกรน และ/หรือภาวะหยุดหายใจขณะหลับจะดีขึ้นหลังทําการผ่าตัดประมาณ 1-2 สัปดาห์ ภาวะแทรกซ้อน โรคแทรกซ้อนที่อาจเกิดขึ้นได้คือ เลือดออกจากแผลผ่าตัดซึ่งถ้าออกมากจะต้องไปทําการห้ามเลือดในห้องผ่าตัดการหายใจลําบากจากการบวมในช่องคอหรือแผลผ่าตัดติดเชื้อระยะแรก เวลาดื่มน้ํา อาจมีสําลักออกจมูกได้บ้างส่วนใหญ่ อาการดังกล่าวจะค่อยๆ ดีขึ้นเองผู้ป่วยที่เข้ารับการผ่าตัด เนื่องจากมีข้อบ่งชี้ของภาวะหยุดหายใจขณะหลับ,"[{""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Wound and Infection""}, {""level_1"": ""อาการ/ภาวะแทรกซ้อน"", ""level_2"": ""Respiratory and Throat""}]"
